family,year,statute,regulation,total
45,2015,388918,0,388918
45,2016,396846,0,396846
45,2017,399060,0,399060
45,2018,354710,0,354710
45,2019,350956,0,350956
46,1998,0,68901,68901
46,1999,42267,346410,388677
47,1998,19542,239276,258818
47,1999,50752,239276,290028
47,2000,43611,258503,302114
47,2001,514,305087,305601
47,2002,1470,333289,334759
47,2003,1470,347816,349286
47,2004,21158,337311,358469
47,2005,513,355905,356418
47,2006,513,383960,384473
48,1998,49778,327622,377400
48,1999,0,261559,261559
48,2000,0,79351,79351
48,2001,0,243704,243704
49,1998,83917,293464,377381
49,1999,69605,172980,242585
49,2000,70820,297437,368257
50,2002,40163,83762,123925
50,2003,37528,136146,173674
50,2004,41472,140789,182261
50,2005,46524,141025,187549
50,2006,55594,144377,199971
50,2007,57392,149542,206934
50,2008,57466,228790,286256
50,2009,57332,228945,286277
50,2010,56386,220850,277236
50,2011,56451,226396,282847
50,2012,63919,227154,291073
50,2013,54204,227162,281366
50,2014,58785,226612,285397
50,2015,85528,239793,325321
50,2016,82699,237576,320275
50,2017,62463,275842,338305
50,2018,65845,266183,332028
50,2019,97612,271026,368638
51,2001,4448,313436,317884
51,2002,13892,313860,327752
51,2003,8230,311589,319819
51,2004,8230,320476,328706
51,2005,0,329827,329827
51,2006,0,330403,330403
51,2007,8722,330999,339721
51,2008,0,323654,323654
51,2009,834,325920,326754
51,2010,834,340662,341496
51,2011,834,345289,346123
51,2012,9739,355405,365144
51,2013,9739,353341,363080
51,2014,9735,356063,365798
51,2015,1700,325153,326853
51,2016,1700,325337,327037
52,2002,30700,49101,79801
52,2003,89254,168142,257396
52,2004,89254,179882,269136
52,2005,89254,180522,269776
52,2006,88772,181992,270764
52,2007,88772,184982,273754
52,2008,117082,184777,301859
52,2009,117082,187228,304310
52,2010,117206,199235,316441
52,2011,86047,224536,310583
52,2012,85537,225657,311194
52,2013,85537,223394,308931
52,2014,85420,227910,313330
52,2015,85680,244716,330396
52,2016,85680,251457,337137
52,2017,85680,253211,338891
52,2018,86470,265934,352404
52,2019,86470,268504,354974
53,2018,117419,236034,353453
53,2019,64950,234522,299472
54,1998,33594,162647,196241
54,1999,42484,163432,205916
54,2000,35474,65694,101168
54,2001,42482,208978,251460
54,2002,42398,211223,253621
54,2003,42568,211174,253742
54,2004,42729,232027,274756
54,2005,42729,226938,269667
54,2006,42732,227590,270322
54,2007,42732,228651,271383
54,2008,42844,235733,278577
54,2009,42844,250162,293006
54,2010,43281,247968,291249
54,2011,48378,247967,296345
54,2012,50380,249363,299743
54,2013,50642,274029,324671
54,2014,50642,276189,326831
54,2015,50958,284281,335239
54,2016,50958,292078,343036
54,2017,50958,296303,347261
54,2018,50958,297023,347981
54,2019,50958,296677,347635
55,1998,142118,184008,326126
55,1999,121238,114125,235363
55,2000,132292,185270,317562
55,2001,128759,186392,315151
