family,year,statute,regulation,total
28,2016,51959,88037,139996
28,2017,52680,88679,141359
28,2018,52680,91413,144093
28,2019,52680,91311,143991
29,1998,66481,21598,88079
29,1999,66486,21598,88084
29,2000,65910,21598,87508
29,2001,66127,21595,87722
29,2002,68468,22591,91059
29,2003,68468,22221,90689
29,2004,68667,22568,91235
29,2005,69629,24360,93989
29,2006,69211,24263,93474
29,2007,69344,24945,94289
29,2008,74141,26616,100757
29,2009,75206,26595,101801
29,2010,75906,26778,102684
29,2011,75965,27303,103268
29,2012,75965,27303,103268
29,2013,76464,27029,103493
29,2014,66569,24873,91442
29,2015,66719,24879,91598
29,2016,77355,28958,106313
29,2017,76963,28993,105956
29,2018,78068,28976,107044
29,2019,81318,29436,110754
30,1998,121808,19899,141707
30,1999,120374,22006,142380
30,2000,126605,27479,154084
30,2001,120360,19899,140259
30,2002,121128,19899,141027
30,2003,121128,19899,141027
30,2004,119696,19899,139595
30,2005,119696,19925,139621
30,2006,119719,19909,139628
30,2007,116120,19909,136029
30,2008,81908,16908,98816
30,2009,81913,16908,98821
30,2010,49691,11853,61544
30,2011,49691,11853,61544
30,2012,49691,11853,61544
30,2013,48499,11853,60352
30,2014,48500,11853,60353
30,2015,49731,11853,61584
30,2016,48512,11853,60365
30,2017,49731,11853,61584
30,2018,49731,11853,61584
30,2019,49731,11853,61584
31,1998,32663,79321,111984
31,1999,32663,77912,110575
31,2000,32663,77273,109936
31,2001,36789,80701,117490
31,2002,38193,88647,126840
31,2003,36694,89018,125712
31,2004,37404,91174,128578
31,2005,36773,97976,134749
31,2006,36888,98950,135838
31,2007,36888,97363,134251
31,2008,38899,99339,138238
31,2009,38925,105981,144906
31,2010,39232,104893,144125
31,2011,44825,109256,154081
31,2012,44817,110549,155366
31,2013,30929,101620,132549
31,2014,30929,105080,136009
31,2015,32082,105456,137538
31,2016,31862,106859,138721
31,2017,31518,109834,141352
31,2018,31518,115983,147501
31,2019,33176,117898,151074
32,1998,16767,13903,30670
32,1999,18531,14401,32932
32,2000,20544,12978,33522
32,2001,29104,20337,49441
32,2002,29240,20330,49570
32,2003,29334,21410,50744
32,2004,31637,22424,54061
32,2005,51115,27263,78378
32,2006,50983,27304,78287
32,2007,51372,27272,78644
32,2008,52156,27309,79465
32,2009,52538,27670,80208
32,2010,52515,27670,80185
32,2011,56426,27164,83590
32,2012,56348,26822,83170
32,2013,56907,26474,83381
