key,type,document_type,heading,law_name,tokens_n,tokens_unique,max_leaf_tokens,items_n,seqitems_n,subseqitems_n,self_loops_n,reliance_n,responsibility_n,reliance_diversity_n,responsibility_diversity_n
BJNR128600993_GebVersÜblG_20071231_000001,document,statute,Gesetz zur Überleitung landesrechtlicher Gebäudeversicherungsverhältnisse,Gesetz zur Überleitung landesrechtlicher Gebäudeversicherungsverhältnisse,272,167,93,0,3,2,2,1,0,1,0
BJNR173000000_LMBestrV-2000_20111013_000001,document,regulation,"Verordnung über die Behandlung von Lebensmitteln mit Elektronen-, Gamma- und Röntgenstrahlen, Neutronen oder ultravioletten Strahlen","Verordnung über die Behandlung von Lebensmitteln mit Elektronen-, Gamma- und Röntgenstrahlen, Neutronen oder ultravioletten Strahlen",1749,571,198,0,11,26,11,8,0,2,0
BJNR345300006_ANTHV_20150724_000001,document,regulation,"Verordnung über Nachweispflichten der Tierhalter für Arzneimittel, die zur Anwendung bei Tieren bestimmt sind","Verordnung über Nachweispflichten der Tierhalter für Arzneimittel, die zur Anwendung bei Tieren bestimmt sind",630,252,164,0,4,5,7,6,1,2,1
BJNR018930977_OFDBremAufgV_99999999_000001,document,regulation,Verordnung zur Übertragung von Aufgaben der Oberfinanzdirektion Bremen,Verordnung zur Übertragung von Aufgaben der Oberfinanzdirektion Bremen,83,64,27,0,4,0,0,1,0,1,0
BJNR036400998_KochAusbV-1998_99999999_000001,document,regulation,Verordnung über die Berufsausbildung zum Koch/zur Köchin,Verordnung über die Berufsausbildung zum Koch/zur Köchin,866,440,124,0,11,12,3,0,0,0,0
BJNR019980992_RAV-5_99999999_000001,document,regulation,Fünfte Verordnung zur Anpassung der Renten in dem in Artikel 3 des Einigungsvertrages genannten Gebiet,Fünfte Verordnung zur Anpassung der Renten in dem in Artikel 3 des Einigungsvertrages genannten Gebiet,259,136,130,0,6,0,0,2,0,1,0
BJNR204200982_AntarktMeerSchÜbkG_99999999_000001,document,statute,Gesetz zu dem Übereinkommen vom 20. Mai 1980 über die Erhaltung der lebenden Meeresschätze der Antarktis,Gesetz zu dem Übereinkommen vom 20. Mai 1980 über die Erhaltung der lebenden Meeresschätze der Antarktis,128,89,67,0,5,2,1,1,0,1,0
BJNR007730967_PartG_20090929_000001,document,statute,Gesetz über die politischen Parteien,Gesetz über die politischen Parteien,8045,2125,314,8,48,144,85,23,1,8,1
BJNR005830913_RuStAG_20070827_000001,document,statute,Staatsangehörigkeitsgesetz,Staatsangehörigkeitsgesetz,3890,1063,304,0,35,52,49,34,12,5,7
BJNR013140974_GewO-34cDV_20071227_000001,document,regulation,"Verordnung über die Pflichten der Immobilienmakler, Darlehensvermittler, Bauträger, Baubetreuer und Wohnimmobilienverwalter","Verordnung über die Pflichten der Immobilienmakler, Darlehensvermittler, Bauträger, Baubetreuer und Wohnimmobilienverwalter",4856,1237,645,0,21,38,81,32,4,5,2
BJNR071800003_InvestAusbV_20130721_000001,document,regulation,Verordnung über die Berufsausbildung zum Investmentfondskaufmann/zur Investmentfondskauffrau,Verordnung über die Berufsausbildung zum Investmentfondskaufmann/zur Investmentfondskauffrau,994,476,318,0,10,11,3,1,0,1,0
BJNR005510953_BBG_20061231_000001,document,statute,Bundesbeamtengesetz,Bundesbeamtengesetz,15208,3122,246,40,150,261,150,43,306,14,108
BJNR004190979_BaumeisterVAblV_99999999_000001,document,regulation,Verordnung zur Ablösung der Baumeisterverordnung,Verordnung zur Ablösung der Baumeisterverordnung,190,126,51,0,5,2,1,2,0,2,0
BJNR188210001_ZensTeG_99999999_000001,document,statute,Gesetz zur Erprobung eines registergestützten Zensus,Gesetz zur Erprobung eines registergestützten Zensus,2503,651,174,0,17,40,87,1,0,1,0
BJNR168000000_BordlichterV-Bin_20111223_000001,document,regulation,Verordnung über die Farbe und Lichtstärke der Bordlichter sowie die Zulassung von Signalleuchten in der Binnenschifffahrt,Verordnung über die Farbe und Lichtstärke der Bordlichter sowie die Zulassung von Signalleuchten in der Binnenschifffahrt,662,254,150,0,7,7,7,0,0,0,0
BJNR007340972_SchKrFürsV_20070912_000001,document,regulation,Verordnung über die Krankenfürsorge auf Kauffahrteischiffen,Verordnung über die Krankenfürsorge auf Kauffahrteischiffen,3855,1148,154,6,28,80,24,13,2,4,1
BJNR004860990_JubVÄndV-4_20090211_000001,document,regulation,Vierte Verordnung zur Änderung der Verordnung über die Gewährung von Jubiläumszuwendungen an Beamte und Richter des Bundes,Vierte Verordnung zur Änderung der Verordnung über die Gewährung von Jubiläumszuwendungen an Beamte und Richter des Bundes,84,56,43,0,4,0,0,3,0,2,0
BJNR025990976_KStG-1977_20061231_000001,document,statute,Körperschaftsteuergesetz,Körperschaftsteuergesetz,19516,2979,2093,10,45,166,221,172,241,21,35
BJNR002800971_FrHfHbgZG_20080516_000001,document,statute,Gesetz über die Einbeziehung von Teilen des Freihafens Hamburg in das Zollgebiet,Gesetz über die Einbeziehung von Teilen des Freihafens Hamburg in das Zollgebiet,313,175,116,0,5,0,0,0,0,0,0
BJNR206800995_AFGLeistungsV-1996_20070504_000001,document,regulation,"Verordnung über die Leistungssätze des Unterhaltsgeldes, des Arbeitslosengeldes, des Altersübergangsgeldes, der Arbeitslosenhilfe und des Kurzarbeitergeldes für das Jahr 1996","Verordnung über die Leistungssätze des Unterhaltsgeldes, des Arbeitslosengeldes, des Altersübergangsgeldes, der Arbeitslosenhilfe und des Kurzarbeitergeldes für das Jahr 1996",0,0,0,0,0,0,0,0,0,0,0
BJNR094620001_PolZusuaVtrCHEG_20150907_000001,document,statute,"Gesetz zu den Verträgen vom 27. April 1999 und 8. Juli 1999 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über grenzüberschreitende polizeiliche Zusammenarbeit, Auslieferung, Rechtshilfe sowie zu dem Abkommen vom 8. Juli 1999 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über Durchgangsrechte","Gesetz zu den Verträgen vom 27. April 1999 und 8. Juli 1999 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über grenzüberschreitende polizeiliche Zusammenarbeit, Auslieferung, Rechtshilfe sowie zu dem Abkommen vom 8. Juli 1999 zwischen der Bundesrepublik Deutschland und der Schweizerischen Eidgenossenschaft über Durchgangsrechte",488,192,155,0,7,5,3,0,0,0,0
